apg,college,draft_year,gp,mp,mpg,player,ppg,rank,rbg,team,ws,ws_48,yrs
,St. John's University,1981,,,,Wayne McKoy,,63,,NYK,,,
,Eastern Kentucky University,1981,,,,Tom Baker,,64,,SAS,,,
,University of the Pacific,1981,,,,Ron Cornelius,,65,,LAL,,,
0.5,"California State University, Long Beach",1981,32,103,3.2,Craig Dykema,1.3,66,0.4,PHO,0.2,.095,1
,University of Illinois at Urbana-Champaign,1981,,,,Mark Smith,,67,,MIL,,,
,University of Maryland,1981,,,,Ernest Graham,,68,,PHI,,,
,University of Michigan,1981,,,,John Johnson,,69,,BOS,,,
,Syracuse University,1981,,,,Eddie Moss,,70,,DAL,,,
,University of South Alabama,1981,,,,John May,,71,,DET,,,
,Virginia Commonwealth University,1981,,,,Edmund Sherod,,72,,NJN,,,
,Southern Nazarene University,1981,,,,George Torres,,73,,UTA,,,
,Louisiana State University,1981,,,,Ethan Martin,,74,,CLE,,,
,University of Louisiana at Lafayette,1981,,,,Kevin Figaro,,75,,ATL,,,
2.9,Drake University,1981,388,9406,24.2,Lewis Lloyd,13.2,76,3.1,GSW,19.8,.101,7
,University of Virginia,1981,,,,Lee Raker,,77,,SDC,,,
1.0,Duke University,1981,95,1244,13.1,Kenny Dennard,2.8,78,3.0,KCK,1.4,.056,3
,University of Arizona,1981,,,,Ron Davis,,79,,WSB,,,
,West Texas A&M University,1981,,,,Terry Adolph,,80,,GSW,,,
1.3,Howard University,1981,169,2202,13.0,Larry Spriggs,5.2,81,2.3,HOU,3.4,.074,5
,Lamar University,1981,,,,B. B. Davis,,82,,KCK,,,
,Briar Cliff University,1981,,,,Rolando Frazier,,83,,IND,,,
,Marquette University,1981,,,,Oliver Lee,,84,,CHI,,,
0.5,"California State University, Fresno",1981,282,3220,11.4,Pete Verhoeven,3.5,85,2.3,POR,5.2,.078,6
0.3,Villanova University,1981,39,331,8.5,Alex Bradley,3.5,86,1.7,NYK,0.4,.053,1
,St. Bonaventure University,1981,,,,Earl Belcher,,87,,SAS,,,
1.4,Creighton University,1981,243,3460,14.2,Kevin McKenna,5.4,88,1.3,LAL,4.0,.056,6
,University of North Carolina at Charlotte,1981,,,,Don Koonce,,89,,DET,,,
,Florida State University,1981,,,,Kris Anderson,,90,,MIL,,,
,La Salle University,1981,,,,Stanley Williams,,91,,BOS,,,
,Texas A&M University,1981,,,,Rynn Wright,,92,,PHI,,,
,University of North Carolina,1981,,,,Pete Budko,,93,,DAL,,,
,University of North Carolina at Charlotte,1981,,,,George DeVone,,94,,DET,,,
0.8,University of Colorado,1981,24,389,16.2,Joe Cooper,4.5,95,4.0,NJN,0.3,.037,3
,University of New Mexico,1981,,,,Ken Page,,96,,CLE,,,
,University of Oregon,1981,,,,Mike Clark,,97,,UTA,,,
,University of Iowa,1981,,,,Steve Krafscisin,,98,,ATL,,,
,University of Washington,1981,,,,Andra Griffin,,99,,SEA,,,
,University of Memphis,1981,,,,Dennis Isbell,,100,,SDC,,,
,Louisiana State University,1981,,,,Willie Sims,,101,,DEN,,,
0.5,University of Memphis,1981,206,1857,9.0,Hank McDowell,2.9,102,2.3,GSW,2.0,.052,6
0.8,College of the Holy Cross,1981,46,493,10.7,Garry Witts,2.9,103,1.3,WSB,1.1,.104,1
,University of Arkansas,1981,,,,U. S. Reed,,104,,KCK,,,
,Bradley University,1981,,,,Hasan Houston,,105,,HOU,,,
,New Jersey City University,1981,,,,George Peterson,,106,,IND,,,
,University of South Alabama,1981,,,,Herb Andrew,,107,,POR,,,
,Arizona State University,1981,,,,Johnny Nash,,108,,CHI,,,
,University of Rhode Island,1981,,,,Jim Wright,,109,,NYK,,,
,Vanderbilt University,1981,,,,Mike Rhodes,,110,,SAS,,,
,North Carolina State University,1981,,,,Craig Watts,,111,,LAL,,,
,University of Michigan,1981,,,,Paul Heuerman,,112,,PHO,,,
,Rutgers University,1981,,,,Kelvin Troy,,113,,MIL,,,
,Brigham Young University,1981,,,,Steve Craig,,114,,PHI,,,
,Indiana University,1981,,,,Glen Grunwald,,115,,BOS,,,
,University of Utah,1981,,,,Karl Bakowski,,116,,DAL,,,
,University of Iowa,1981,,,,Vince Brookins,,117,,DET,,,
,La Salle University,1981,,,,Kevin Lynam,,118,,NJN,,,
,Loyola University of Chicago,1981,,,,Kevin Sprewer,,119,,UTA,,,
,University of Hawaii,1981,,,,Aaron Strayhorn,,120,,CLE,,,
,Hampton University,1981,,,,Darryl Warwick,,121,,ATL,,,
,Auburn University,1981,,,,Earl Banks,,122,,SEA,,,
,University of North Carolina,1981,,,,Mike Pepper,,123,,SDC,,,
